meter_name,monthly_consumption,month,date
AN DƯƠNG,3991492.0,2025-01,2025-01-31T00:00:00
AN DƯƠNG,3413020.0,2025-02,2025-02-28T00:00:00
AN DƯƠNG,4027148.0,2025-03,2025-03-31T00:00:00
AN DƯƠNG,4108519.0,2025-04,2025-04-30T00:00:00
AN DƯƠNG,4363371.0,2025-05,2025-05-31T00:00:00
AN DƯƠNG,4401471.0,2025-06,2025-06-30T00:00:00
AN DƯƠNG,4505594.0,2025-07,2025-07-31T00:00:00
AN DƯƠNG,4558933.0,2025-08,2025-08-31T00:00:00
CÁT BÀ 1,16283.3,2025-01,2025-01-31T00:00:00
CÁT BÀ 1,15036.8,2025-02,2025-02-28T00:00:00
CÁT BÀ 1,15350.3,2025-03,2025-03-31T00:00:00
CÁT BÀ 1,16459.3,2025-04,2025-04-30T00:00:00
CÁT BÀ 1,18757.5,2025-05,2025-05-31T00:00:00
CÁT BÀ 1,18846.2,2025-06,2025-06-30T00:00:00
CÁT BÀ 1,19486.0,2025-07,2025-07-31T00:00:00
CÁT BÀ 1,18524.0,2025-08,2025-08-31T00:00:00
CÁT BÀ 10,5673.5,2025-01,2025-01-31T00:00:00
CÁT BÀ 10,4636.3,2025-02,2025-02-28T00:00:00
CÁT BÀ 10,5750.3,2025-03,2025-03-31T00:00:00
CÁT BÀ 10,6003.7,2025-04,2025-04-30T00:00:00
CÁT BÀ 10,6372.3,2025-05,2025-05-31T00:00:00
CÁT BÀ 10,6596.7,2025-06,2025-06-30T00:00:00
CÁT BÀ 10,6039.4,2025-07,2025-07-31T00:00:00
CÁT BÀ 10,5154.8,2025-08,2025-08-31T00:00:00
CÁT BÀ 2,12663.4,2025-01,2025-01-31T00:00:00
CÁT BÀ 2,14885.2,2025-02,2025-02-28T00:00:00
CÁT BÀ 2,11831.4,2025-03,2025-03-31T00:00:00
CÁT BÀ 2,12346.3,2025-04,2025-04-30T00:00:00
CÁT BÀ 2,12285.9,2025-05,2025-05-31T00:00:00
CÁT BÀ 2,-985077.5,2025-06,2025-06-30T00:00:00
CÁT BÀ 2,14868.6,2025-07,2025-07-31T00:00:00
CÁT BÀ 2,13890.2,2025-08,2025-08-31T00:00:00
CÁT BÀ 3-4,5545.8,2025-01,2025-01-31T00:00:00
CÁT BÀ 3-4,5958.3,2025-02,2025-02-28T00:00:00
CÁT BÀ 3-4,5132.4,2025-03,2025-03-31T00:00:00
CÁT BÀ 3-4,5322.8,2025-04,2025-04-30T00:00:00
CÁT BÀ 3-4,4903.2,2025-05,2025-05-31T00:00:00
CÁT BÀ 3-4,7449.2,2025-06,2025-06-30T00:00:00
CÁT BÀ 3-4,6338.8,2025-07,2025-07-31T00:00:00
CÁT BÀ 3-4,5777.0,2025-08,2025-08-31T00:00:00
CÁT BÀ 5,7651.1,2025-01,2025-01-31T00:00:00
CÁT BÀ 5,5791.0,2025-02,2025-02-28T00:00:00
CÁT BÀ 5,5930.2,2025-03,2025-03-31T00:00:00
CÁT BÀ 5,6974.0,2025-04,2025-04-30T00:00:00
CÁT BÀ 5,8724.7,2025-05,2025-05-31T00:00:00
CÁT BÀ 5,8952.6,2025-06,2025-06-30T00:00:00
CÁT BÀ 5,9539.7,2025-07,2025-07-31T00:00:00
CÁT BÀ 5,8881.6,2025-08,2025-08-31T00:00:00
CÁT BÀ 6,6690.4,2025-01,2025-01-31T00:00:00
CÁT BÀ 6,5499.9,2025-02,2025-02-28T00:00:00
CÁT BÀ 6,6040.6,2025-03,2025-03-31T00:00:00
CÁT BÀ 6,5480.6,2025-04,2025-04-30T00:00:00
CÁT BÀ 6,7386.1,2025-05,2025-05-31T00:00:00
CÁT BÀ 6,7312.9,2025-06,2025-06-30T00:00:00
CÁT BÀ 6,7511.0,2025-07,2025-07-31T00:00:00
CÁT BÀ 6,6604.0,2025-08,2025-08-31T00:00:00
CÁT BÀ 7,4567.5,2025-01,2025-01-31T00:00:00
CÁT BÀ 7,3785.4,2025-02,2025-02-28T00:00:00
CÁT BÀ 7,4287.7,2025-03,2025-03-31T00:00:00
CÁT BÀ 7,4486.7,2025-04,2025-04-30T00:00:00
CÁT BÀ 7,4058.9,2025-05,2025-05-31T00:00:00
CÁT BÀ 7,5651.6,2025-06,2025-06-30T00:00:00
CÁT BÀ 7,4786.8,2025-07,2025-07-31T00:00:00
CÁT BÀ 7,4855.1,2025-08,2025-08-31T00:00:00
CÁT BÀ 8,56654.0,2025-01,2025-01-31T00:00:00
CÁT BÀ 8,38113326.0,2025-02,2025-02-28T00:00:00
CÁT BÀ 8,-38963743.0,2025-03,2025-03-31T00:00:00
CÁT BÀ 8,84410.0,2025-04,2025-04-30T00:00:00
CÁT BÀ 8,107097.0,2025-05,2025-05-31T00:00:00
CÁT BÀ 8,140002.0,2025-06,2025-06-30T00:00:00
CÁT BÀ 8,142680.0,2025-07,2025-07-31T00:00:00
CÁT BÀ 8,110764.0,2025-08,2025-08-31T00:00:00
HẢI SƠN,0.0,2025-01,2025-01-31T00:00:00
HẢI SƠN,0.0,2025-02,2025-02-28T00:00:00
HẢI SƠN,0.0,2025-03,2025-03-31T00:00:00
HẢI SƠN,0.0,2025-04,2025-04-30T00:00:00
HẢI SƠN,0.0,2025-05,2025-05-31T00:00:00
HẢI SƠN,0.0,2025-06,2025-06-30T00:00:00
HẢI SƠN,0.0,2025-07,2025-07-31T00:00:00
HẢI SƠN,0.0,2025-08,2025-08-31T00:00:00
HIỀN HÀO,10897.9,2025-01,2025-01-31T00:00:00
HIỀN HÀO,8485.9,2025-02,2025-02-28T00:00:00
HIỀN HÀO,8530.5,2025-03,2025-03-31T00:00:00
HIỀN HÀO,6942.5,2025-04,2025-04-30T00:00:00
HIỀN HÀO,8539.2,2025-05,2025-05-31T00:00:00
HIỀN HÀO,9882.6,2025-06,2025-06-30T00:00:00
HIỀN HÀO,12843.2,2025-07,2025-07-31T00:00:00
HIỀN HÀO,12688.9,2025-08,2025-08-31T00:00:00
THUỒNG LUỒNG,0.1,2025-01,2025-01-31T00:00:00
THUỒNG LUỒNG,0.1,2025-02,2025-02-28T00:00:00
THUỒNG LUỒNG,0.0,2025-03,2025-03-31T00:00:00
THUỒNG LUỒNG,0.0,2025-04,2025-04-30T00:00:00
THUỒNG LUỒNG,0.1,2025-05,2025-05-31T00:00:00
THUỒNG LUỒNG,0.1,2025-06,2025-06-30T00:00:00
THUỒNG LUỒNG,0.3,2025-07,2025-07-31T00:00:00
THUỒNG LUỒNG,0.1,2025-08,2025-08-31T00:00:00
VIỆT HẢI,1395.7,2025-01,2025-01-31T00:00:00
VIỆT HẢI,1162.4,2025-02,2025-02-28T00:00:00
VIỆT HẢI,1159.2,2025-03,2025-03-31T00:00:00
VIỆT HẢI,923.4,2025-04,2025-04-30T00:00:00
VIỆT HẢI,1679.3,2025-05,2025-05-31T00:00:00
VIỆT HẢI,735.7,2025-06,2025-06-30T00:00:00
VIỆT HẢI,1571.2,2025-07,2025-07-31T00:00:00
VIỆT HẢI,1942.4,2025-08,2025-08-31T00:00:00
XUÂN ĐÁM,0.0,2025-01,2025-01-31T00:00:00
XUÂN ĐÁM,0.0,2025-02,2025-02-28T00:00:00
XUÂN ĐÁM,0.0,2025-03,2025-03-31T00:00:00
XUÂN ĐÁM,0.0,2025-04,2025-04-30T00:00:00
XUÂN ĐÁM,0.0,2025-05,2025-05-31T00:00:00
XUÂN ĐÁM,0.0,2025-06,2025-06-30T00:00:00
XUÂN ĐÁM,0.0,2025-07,2025-07-31T00:00:00
XUÂN ĐÁM,0.0,2025-08,2025-08-31T00:00:00
An Biên 1.1,12189.2,2025-01,2025-01-31T00:00:00
An Biên 1.1,9503.0,2025-02,2025-02-28T00:00:00
An Biên 1.1,0.2,2025-03,2025-03-31T00:00:00
An Biên 1.1,0.0,2025-04,2025-04-30T00:00:00
An Biên 1.1,0.0,2025-05,2025-05-31T00:00:00
An Biên 1.1,0.0,2025-06,2025-06-30T00:00:00
An Biên 1.1,0.0,2025-07,2025-07-31T00:00:00
An Biên 1.1,0.0,2025-08,2025-08-31T00:00:00
An Biên 1.2.1,5809.4,2025-01,2025-01-31T00:00:00
An Biên 1.2.1,4700.4,2025-02,2025-02-28T00:00:00
An Biên 1.2.1,5233.3,2025-03,2025-03-31T00:00:00
An Biên 1.2.1,5270.7,2025-04,2025-04-30T00:00:00
An Biên 1.2.1,5769.6,2025-05,2025-05-31T00:00:00
An Biên 1.2.1,5772.4,2025-06,2025-06-30T00:00:00
An Biên 1.2.1,5829.0,2025-07,2025-07-31T00:00:00
An Biên 1.2.1,6220.7,2025-08,2025-08-31T00:00:00
An Biên 1.2.2,6787.2,2025-01,2025-01-31T00:00:00
An Biên 1.2.2,5644.8,2025-02,2025-02-28T00:00:00
An Biên 1.2.2,6500.2,2025-03,2025-03-31T00:00:00
An Biên 1.2.2,6347.1,2025-04,2025-04-30T00:00:00
An Biên 1.2.2,6965.2,2025-05,2025-05-31T00:00:00
An Biên 1.2.2,6696.0,2025-06,2025-06-30T00:00:00
An Biên 1.2.2,6168.5,2025-07,2025-07-31T00:00:00
An Biên 1.2.2,6456.7,2025-08,2025-08-31T00:00:00
An Biên 2.1,14889.7,2025-01,2025-01-31T00:00:00
An Biên 2.1,12451.9,2025-02,2025-02-28T00:00:00
An Biên 2.1,14071.4,2025-03,2025-03-31T00:00:00
An Biên 2.1,13891.3,2025-04,2025-04-30T00:00:00
An Biên 2.1,15197.8,2025-05,2025-05-31T00:00:00
An Biên 2.1,15192.5,2025-06,2025-06-30T00:00:00
An Biên 2.1,15459.1,2025-07,2025-07-31T00:00:00
An Biên 2.1,14607.4,2025-08,2025-08-31T00:00:00
An Biên 2.2,7231.5,2025-01,2025-01-31T00:00:00
An Biên 2.2,6058.3,2025-02,2025-02-28T00:00:00
An Biên 2.2,6929.7,2025-03,2025-03-31T00:00:00
An Biên 2.2,6628.9,2025-04,2025-04-30T00:00:00
An Biên 2.2,7000.1,2025-05,2025-05-31T00:00:00
An Biên 2.2,6394.4,2025-06,2025-06-30T00:00:00
An Biên 2.2,6429.0,2025-07,2025-07-31T00:00:00
An Biên 2.2,6776.8,2025-08,2025-08-31T00:00:00
An Biên 2.3,0.0,2025-01,2025-01-31T00:00:00
An Biên 2.3,0.0,2025-02,2025-02-28T00:00:00
An Biên 2.3,0.0,2025-03,2025-03-31T00:00:00
An Biên 2.3,0.0,2025-04,2025-04-30T00:00:00
An Biên 2.3,0.0,2025-05,2025-05-31T00:00:00
An Biên 2.3,0.0,2025-06,2025-06-30T00:00:00
An Biên 2.3,0.0,2025-07,2025-07-31T00:00:00
An Biên 2.3,0.0,2025-08,2025-08-31T00:00:00
AN ĐÀ,0.0,2025-01,2025-01-31T00:00:00
AN ĐÀ,0.0,2025-02,2025-02-28T00:00:00
AN ĐÀ,0.0,2025-03,2025-03-31T00:00:00
AN ĐÀ,0.0,2025-04,2025-04-30T00:00:00
