meter_name,branch,installation_time,longitude,latitude
AN THÁI 1,CNHP4,2024-01-01T01:00:00,,
AN THÁI 2,CNHP4,2024-01-01T01:00:00,,
AN THÁI 3,CNHP4,2024-01-01T01:00:00,,
AN THÁI 4,CNHP4,2024-01-01T01:00:00,,
AN THÁI 5,CNHP4,2024-01-01T01:00:00,,
AN THÁI 6,CNHP4,2024-01-01T01:00:00,,
AN THÁI 7,CNHP4,2024-01-01T01:00:00,,
AN THÁI TỔNG,CNHP4,2024-01-01T01:00:00,,
An Thọ 1,CNHP4,2025-01-17T14:55:00,,
An Thọ 2,CNHP4,2025-01-16T08:10:00,,
An Thọ 3,CNHP4,2025-01-16T08:10:00,,
An Thọ 4,CNHP4,2025-01-16T08:10:00,,
An Thọ 5,CNHP4,2025-01-17T14:55:00,,
AN THỌ TỔNG,CNHP4,2024-12-13T12:25:00,,
BƯU ĐIỆN KA,CNHP4,2024-01-01T01:00:00,,
Cầu Rế 2,CNHP4,2024-01-01T01:00:00,,
CHIẾN THẮNG 1,CNHP4,2024-01-01T01:00:00,,
CHIẾN THẮNG 2,CNHP4,2024-01-01T01:00:00,,
CHIẾN THẮNG 3,CNHP4,2024-01-01T01:00:00,,
CHIẾN THẮNG 4-5,CNHP4,2024-01-01T01:00:00,,
D300 HỮU BẰNG,CNHP4,2024-01-01T01:00:00,,
D300 THUẬN THIÊN,CNHP4,2024-07-26T09:25:00,,
DU LỄ 1,CNHP4,2024-01-01T01:00:00,106.685,20.839
DU LỄ 2,CNHP4,2024-01-01T01:00:00,106.6881,20.8443
DU LỄ 3,CNHP4,2024-01-01T01:00:00,,
DU LỄ 4,CNHP4,2024-01-01T01:00:00,,
DU LỄ D300,CNHP4,2024-01-01T01:00:00,,
HỮU BẰNG,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 1,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 2,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 3,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 4,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 5,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 6,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 7-9,CNHP4,2024-01-01T01:00:00,,
MỸ ĐỨC 8,CNHP4,2024-01-01T01:00:00,,
Ngũ Phúc 1,CNHP4,2024-01-01T01:00:00,,
Ngũ Phúc 2,CNHP4,2024-01-01T01:00:00,,
Ngũ Phúc 3,CNHP4,2024-01-01T01:00:00,,
Ngũ Phúc 4,CNHP4,2024-01-01T01:00:00,,
Ngũ Phúc Tổng,CNHP4,2024-01-01T01:00:00,,
TÂN VIÊN 1,CNHP4,2024-01-01T01:00:00,,
TÂN VIÊN 2,CNHP4,2024-01-01T01:00:00,,
TÂN VIÊN 3,CNHP4,2024-01-01T01:00:00,,
TÂN VIÊN 4,CNHP4,2024-01-01T01:00:00,,
TÂN VIÊN TỔNG,CNHP4,2024-01-01T01:00:00,,
TB TRƯỜNG SƠN,CNHP4,2025-03-20T11:30:00,,
THUẬN THIÊN 1,CNHP4,2024-01-01T01:00:00,,
THUẬN THIÊN 2,CNHP4,2024-01-01T01:00:00,,
