Event,recorded_time,repair_time,meter_name,leak_reason,replacement_type,replacement_location,branch
Pipe,2025-03-18T00:00:00,2025-03-07T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-09-22T00:00:00,2025-09-19T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-15T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-02-17T00:00:00,2025-02-14T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-05T00:00:00,DU LỄ 4,Other/unknown,,,
Pipe,2025-01-20T00:00:00,2025-01-15T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-08-20T00:00:00,2025-08-13T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-01-03T00:00:00,2025-01-02T00:00:00,MỸ ĐỨC 3,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-12T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-27T00:00:00,THUẬN THIÊN 2,Other/unknown,,,
Pipe,2025-08-12T00:00:00,2025-08-10T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-07-28T00:00:00,2025-07-28T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-05-16T00:00:00,2025-05-15T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-20T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-08-12T00:00:00,2025-08-11T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-07-01T00:00:00,2025-06-30T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-07-14T00:00:00,2025-07-11T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-04-02T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-24T00:00:00,NGŨ PHÚC 3,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-27T00:00:00,MỸ ĐỨC 5,Other/unknown,,,
Pipe,2025-02-17T00:00:00,2025-02-15T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-07-01T00:00:00,2025-06-27T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-02-10T00:00:00,2025-02-10T00:00:00,AN THÁI 2,Other/unknown,,,
Pipe,2025-07-31T00:00:00,2025-07-30T00:00:00,DU LỄ 3,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-02T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-06-25T00:00:00,2025-06-22T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-10T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-10T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-19T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-07-01T00:00:00,2025-06-09T00:00:00,An Thọ 5,Other/unknown,,,
Pipe,2025-05-16T00:00:00,2025-05-15T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-19T00:00:00,CHIẾN THẮNG 5,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-06T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-01-03T00:00:00,2025-01-02T00:00:00,NGŨ PHÚC 2,Other/unknown,,,
Pipe,2025-02-07T00:00:00,2025-02-04T00:00:00,HỮU BẰNG 1,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-04T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-09-25T00:00:00,2025-09-24T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-13T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-02-21T00:00:00,2025-02-17T00:00:00,AN THÁI 5,Other/unknown,,,
